Opponent,Matches,Score,Win%
Mew Genesect,10,3 - 7 - 0,30.00%
Lugia Archeops,9,2 - 7 - 0,22.22%
Lost Zone Box,6,1 - 4 - 1,16.67%
Arceus Duraludon,5,2 - 3 - 0,40.00%
Eternatus,4,1 - 3 - 0,25.00%
Rayquaza LZ Box,3,3 - 0 - 0,100.00%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Regis,3,0 - 3 - 0,0.00%
Yveltal Control,2,2 - 0 - 0,100.00%
Giratina LZ Box,2,2 - 0 - 0,100.00%
Palkia Inteleon,2,1 - 1 - 0,50.00%
Mewtwo Control,2,1 - 0 - 1,50.00%
Arceus Flying Pikachu,2,0 - 1 - 1,0.00%
Sableye,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Arceus Tapu Koko,1,1 - 0 - 0,100.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Regidrago,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 1 - 0,0.00%
Other,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 1 - 0,0.00%
