Opponent,Matches,Score,Win%
Lugia Archeops,19,8 - 9 - 2,42.11%
Mew Genesect,15,10 - 5 - 0,66.67%
Lost Zone Box,10,7 - 3 - 0,70.00%
Regis,8,2 - 5 - 1,25.00%
Arceus Duraludon,7,2 - 5 - 0,28.57%
Giratina LZ Box,6,2 - 3 - 1,33.33%
Rayquaza LZ Box,5,2 - 3 - 0,40.00%
Vikavolt,4,1 - 3 - 0,25.00%
Arceus Goodra,3,3 - 0 - 0,100.00%
Palkia Inteleon,3,1 - 2 - 0,33.33%
Zoroark Box,2,2 - 0 - 0,100.00%
Eternatus,2,2 - 0 - 0,100.00%
Arceus Flying Pikachu,2,1 - 1 - 0,50.00%
Vikavolt Regieleki,2,1 - 1 - 0,50.00%
Shadow Rider Calyrex,2,1 - 1 - 0,50.00%
Inteleon Box,2,1 - 1 - 0,50.00%
Other,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Victini,1,1 - 0 - 0,100.00%
Ice Rider Calyrex,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
