Opponent,Matches,Score,Win%
Lugia Archeops,27,5 - 21 - 1,18.52%
Mew Genesect,19,6 - 13 - 0,31.58%
Lost Zone Box,18,5 - 12 - 1,27.78%
Arceus Duraludon,7,1 - 6 - 0,14.29%
Giratina LZ Box,5,1 - 4 - 0,20.00%
Other,4,4 - 0 - 0,100.00%
Regidrago,4,1 - 3 - 0,25.00%
Rayquaza LZ Box,4,0 - 4 - 0,0.00%
Hisuian Zoroark,3,2 - 1 - 0,66.67%
Galarian Weezing,3,2 - 1 - 0,66.67%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Mewtwo Control,3,1 - 2 - 0,33.33%
Regis,3,0 - 3 - 0,0.00%
Arceus Flying Pikachu,2,2 - 0 - 0,100.00%
Zoroark Box,2,1 - 1 - 0,50.00%
Yveltal Control,2,1 - 1 - 0,50.00%
Flaaffy Zekrom,2,1 - 1 - 0,50.00%
Kyurem,2,1 - 1 - 0,50.00%
Kyurem Palkia,2,0 - 2 - 0,0.00%
Durant,2,0 - 2 - 0,0.00%
Palkia Vikavolt,2,0 - 2 - 0,0.00%
Palkia,2,0 - 2 - 0,0.00%
Weezing Inteleon,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Single Strike Urshifu,1,1 - 0 - 0,100.00%
Arceus Goodra,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Inteleon Urshifu,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Dark Inteleon,1,0 - 1 - 0,0.00%
Charizard,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Giratina,1,0 - 1 - 0,0.00%
Snorlax,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Cramorant,1,0 - 1 - 0,0.00%
