Opponent,Matches,Score,Win%
Lugia Archeops,13,2 - 11 - 0,15.38%
Lost Zone Box,4,3 - 1 - 0,75.00%
Regis,4,0 - 4 - 0,0.00%
Mew Genesect,4,0 - 4 - 0,0.00%
Arceus Duraludon,3,2 - 1 - 0,66.67%
Kyurem Palkia,3,1 - 2 - 0,33.33%
Goodra LZ Box,2,2 - 0 - 0,100.00%
Arceus Goodra,2,0 - 2 - 0,0.00%
Giratina LZ Box,2,0 - 2 - 0,0.00%
Mewtwo Control,2,0 - 2 - 0,0.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Eternatus,1,0 - 1 - 0,0.00%
Leafeon Inteleon,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 1 - 0,0.00%
