Opponent,Matches,Score,Win%
Lugia Archeops,8,1 - 7 - 0,12.50%
Lost Zone Box,6,3 - 3 - 0,50.00%
Regis,6,2 - 4 - 0,33.33%
Goodra LZ Box,5,1 - 4 - 0,20.00%
Mew Genesect,3,0 - 3 - 0,0.00%
Giratina LZ Box,2,1 - 1 - 0,50.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Eternatus,2,0 - 2 - 0,0.00%
Other,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Blissey,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Arceus Duraludon,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Galarian Weezing,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Vikavolt,1,0 - 1 - 0,0.00%
