Opponent,Matches,Score,Win%
Mew Genesect,8,2 - 6 - 0,25.00%
Lugia Archeops,7,3 - 4 - 0,42.86%
Regis,5,5 - 0 - 0,100.00%
Giratina LZ Box,4,1 - 3 - 0,25.00%
Palkia Inteleon,3,1 - 2 - 0,33.33%
Kyurem Palkia,2,1 - 1 - 0,50.00%
Serperior,2,1 - 1 - 0,50.00%
Lost Zone Box,2,0 - 2 - 0,0.00%
Arceus,2,0 - 2 - 0,0.00%
Goodra LZ Box,2,0 - 2 - 0,0.00%
Clefairy,1,1 - 0 - 0,100.00%
Galarian Weezing,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Arceus Duraludon,1,0 - 1 - 0,0.00%
