Opponent,Matches,Score,Win%
Lugia Archeops,12,5 - 7 - 0,41.67%
Mew Genesect,7,2 - 5 - 0,28.57%
Lost Zone Box,6,5 - 1 - 0,83.33%
Regis,4,2 - 2 - 0,50.00%
Blissey,3,1 - 2 - 0,33.33%
Giratina LZ Box,3,0 - 3 - 0,0.00%
Vikavolt,2,1 - 1 - 0,50.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Sylveon,1,1 - 0 - 0,100.00%
Vikavolt Regieleki,1,1 - 0 - 0,100.00%
Rayquaza LZ Box,1,0 - 0 - 1,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
