Opponent,Matches,Score,Win%
Lugia Archeops,49,12 - 35 - 2,24.49%
Mew Genesect,26,9 - 17 - 0,34.62%
Lost Zone Box,15,8 - 7 - 0,53.33%
Regis,14,5 - 9 - 0,35.71%
Arceus Duraludon,11,3 - 8 - 0,27.27%
Vikavolt Regieleki,8,5 - 3 - 0,62.50%
Goodra LZ Box,8,0 - 8 - 0,0.00%
Rayquaza LZ Box,7,6 - 1 - 0,85.71%
Giratina LZ Box,7,2 - 5 - 0,28.57%
Arceus Flying Pikachu,5,4 - 1 - 0,80.00%
Palkia Inteleon,5,2 - 3 - 0,40.00%
Kyurem Palkia,5,2 - 3 - 0,40.00%
Vikavolt,4,3 - 1 - 0,75.00%
Eternatus,4,2 - 2 - 0,50.00%
Hisuian Zoroark,3,3 - 0 - 0,100.00%
Other,3,3 - 0 - 0,100.00%
Durant,3,2 - 1 - 0,66.67%
Blissey,2,2 - 0 - 0,100.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Mewtwo Control,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,1 - 1 - 0,50.00%
Zoroark Box,2,1 - 1 - 0,50.00%
Crobat Weezing,2,1 - 1 - 0,50.00%
Shadow Rider Calyrex,2,0 - 2 - 0,0.00%
Arceus Tapu Koko,2,0 - 2 - 0,0.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Coalossal,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Ice Rider Calyrex,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,1 - 0 - 0,100.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
